net,length_um
net939,54.185
_12897_,54.18
_14462_,54.18
_04772_,54.175
clknet_leaf_106_clk,54.16
_05294_,54.14
_06088_,54.14
delay_line\[15\]\[14\],54.14
clknet_leaf_184_clk,54.14
_05753_,54.12
_17378_,54.12
_01809_,54.1
_08450_,54.1
_12492_,54.1
_24511_,54.1
_06788_,54.08
net938,54.065
_00396_,54.06
_20684_,54.06
_15928_,54.04
_18620_,54.04
_00691_,54.02
_14237_,54.02
_21674_,54.02
_09244_,54
_11269_,54
_17807_,54
delay_line\[0\]\[4\],54
net656,53.985
_05689_,53.98
_14913_,53.98
_19286_,53.98
_20373_,53.98
_19636_,53.975
_08083_,53.96
_11349_,53.94
_07118_,53.92
_04594_,53.9
_15329_,53.88
_19417_,53.855
_04341_,53.84
_10641_,53.84
_23132_,53.84
_03086_,53.83
_10607_,53.82
_04425_,53.8
_20152_,53.8
_22490_,53.8
clknet_leaf_34_clk,53.8
_03855_,53.795
_22912_,53.78
_18925_,53.76
_09137_,53.74
_07457_,53.7
_05880_,53.68
_21515_,53.66
_22031_,53.66
_12485_,53.64
_18375_,53.64
_21256_,53.64
_10475_,53.63
_17182_,53.62
_06352_,53.61
_11013_,53.58
_22605_,53.56
net1120,53.555
_07704_,53.5
_19028_,53.5
_10586_,53.48
net452,53.48
_17996_,53.46
_03687_,53.44
_03692_,53.43
_16631_,53.42
_17279_,53.42
clknet_leaf_139_clk,53.42
net9,53.385
_02814_,53.38
_19809_,53.38
_20857_,53.38
net371,53.375
_15776_,53.36
_19750_,53.34
_22020_,53.34
_20733_,53.32
_19799_,53.3
_07644_,53.28
_10280_,53.28
_22534_,53.275
_24752_,53.26
_01765_,53.24
_10498_,53.24
_14743_,53.24
_08864_,53.23
_16990_,53.22
_01079_,53.205
_03880_,53.2
_09471_,53.2
_15954_,53.2
_24496_,53.18
delay_line\[24\]\[12\],53.18
_04575_,53.14
_04868_,53.14
_00653_,53.12
_04729_,53.1
_06148_,53.1
_22984_,53.08
_02030_,53.06
_09274_,53.06
net1153,53.045
_02414_,53.025
_07610_,53.02
_07792_,53.02
_17095_,53.02
_18985_,53.02
delay_line\[24\]\[14\],53.01
_09718_,52.99
net733,52.965
_18085_,52.96
_03090_,52.92
_05769_,52.92
_25405_,52.92
_07554_,52.9
_12766_,52.9
_10980_,52.88
_11268_,52.865
_06856_,52.86
net333,52.845
_10761_,52.825
_02167_,52.82
_24847_,52.82
_05203_,52.8
_16625_,52.8
_19335_,52.795
_20955_,52.78
_23859_,52.76
_00568_,52.74
_05867_,52.72
_08976_,52.72
_15976_,52.72
_19803_,52.71
_06425_,52.7
_10436_,52.68
delay_line\[2\]\[10\],52.68
net803,52.665
_07255_,52.66
_08406_,52.66
_18416_,52.64
_19625_,52.62
_23752_,52.615
_12747_,52.6
_25030_,52.6
_10245_,52.58
_19397_,52.58
_24694_,52.58
delay_line\[18\]\[4\],52.58
_21161_,52.56
net792,52.56
_18579_,52.545
_10443_,52.54
_22141_,52.54
_04127_,52.5
_09881_,52.5
_17624_,52.5
_24749_,52.5
_01730_,52.48
_17233_,52.48
_01288_,52.46
_12888_,52.46
clknet_leaf_38_clk,52.46
net982,52.445
_03755_,52.42
_23677_,52.42
_23852_,52.42
_06510_,52.4
_09150_,52.4
_00049_,52.38
_08802_,52.38
_07807_,52.375
_21763_,52.36
_04801_,52.34
_13493_,52.335
_09822_,52.32
_13367_,52.31
_02992_,52.3
_20639_,52.3
_23682_,52.3
_19749_,52.26
delay_line\[38\]\[6\],52.26
_13165_,52.24
delay_line\[33\]\[5\],52.24
_12892_,52.22
_13864_,52.22
_16140_,52.22
_11591_,52.2
_19742_,52.2
_04267_,52.18
_15844_,52.18
_15223_,52.16
_02637_,52.12
_05611_,52.12
_02962_,52.1
_21557_,52.1
_22277_,52.1
_24006_,52.08
_14019_,52.06
delay_line\[32\]\[3\],52.06
clknet_leaf_57_clk,52.06
_07096_,52.04
_10087_,52.04
_12955_,52.04
_20513_,52.04
_07551_,52.01
_05889_,52
_10625_,51.995
net301,51.975
_03085_,51.94
_03091_,51.92
_06428_,51.92
_24541_,51.92
_11135_,51.9
_13731_,51.9
_13667_,51.88
_13913_,51.88
_16761_,51.88
_23107_,51.88
delay_line\[34\]\[9\],51.86
_08129_,51.84
_09204_,51.84
_11543_,51.84
_03096_,51.83
_12050_,51.83
delay_line\[40\]\[7\],51.81
_07563_,51.8
_16690_,51.8
_06920_,51.78
_11648_,51.78
_25383_,51.76
_21623_,51.74
clknet_leaf_118_clk,51.74
_13108_,51.73
_18114_,51.73
_06214_,51.72
_15602_,51.72
_16203_,51.72
_19928_,51.71
_21156_,51.7
_22955_,51.69
_10968_,51.68
_23312_,51.68
_05788_,51.66
_06315_,51.64
_18606_,51.64
_20686_,51.64
_01611_,51.62
_16349_,51.62
_02052_,51.58
_03171_,51.58
_07378_,51.58
_10074_,51.58
_03967_,51.56
_10578_,51.56
_02546_,51.54
_21109_,51.54
delay_line\[18\]\[6\],51.54
_00234_,51.5
_12602_,51.5
_20612_,51.5
_20928_,51.5
_10811_,51.48
_13455_,51.46
_19463_,51.46
_10291_,51.44
_16669_,51.44
_23720_,51.44
_01215_,51.435
net687,51.425
_06304_,51.42
_22499_,51.42
net403,51.415
net989,51.405
net999,51.405
_03478_,51.4
_04909_,51.38
_15900_,51.38
_20343_,51.38
_24528_,51.38
net757,51.365
_22852_,51.355
_22596_,51.34
_04449_,51.32
_06303_,51.32
_22222_,51.32
clknet_leaf_1_clk,51.32
_00435_,51.3
_04942_,51.3
_13675_,51.28
_24956_,51.28
delay_line\[37\]\[7\],51.28
_15977_,51.27
_09617_,51.265
net370,51.265
_13053_,51.24
_21218_,51.24
_04904_,51.22
_10603_,51.21
_08687_,51.2
_12512_,51.2
_19996_,51.2
_10237_,51.18
_11202_,51.18
_14861_,51.18
_25352_,51.18
_12742_,51.16
_16628_,51.14
_19586_,51.14
_20266_,51.14
_02686_,51.1
_00704_,51.08
_05407_,51.08
_09553_,51.08
_17245_,51.08
clknet_leaf_56_clk,51.08
_14606_,51.06
_05559_,51
_10706_,51
_23271_,51
_23689_,51
net19,51
_15694_,50.96
_03239_,50.95
_02874_,50.94
_03510_,50.94
_03720_,50.94
_18905_,50.94
net1103,50.925
_01367_,50.92
_08535_,50.92
_22979_,50.905
_17081_,50.9
delay_line\[10\]\[13\],50.9
delay_line\[8\]\[14\],50.9
delay_line\[40\]\[1\],50.88
_01682_,50.86
_16185_,50.86
_21894_,50.86
_22467_,50.83
_18073_,50.82
_21964_,50.82
_10118_,50.78
_12823_,50.78
_16639_,50.78
_02745_,50.765
_21476_,50.76
_15587_,50.74
_16058_,50.74
_17193_,50.74
_17369_,50.74
_01739_,50.73
_07509_,50.675
_21398_,50.66
_05093_,50.64
_24204_,50.64
_05504_,50.62
_10732_,50.62
_13051_,50.62
delay_line\[18\]\[12\],50.62
_10513_,50.605
_05339_,50.58
_05508_,50.58
_08292_,50.58
_14123_,50.58
_15183_,50.58
_22488_,50.58
_12105_,50.56
_13992_,50.56
_19460_,50.56
_22560_,50.56
_03702_,50.555
_02214_,50.54
_06050_,50.54
_11273_,50.54
_18510_,50.53
_10008_,50.525
_03333_,50.52
_19588_,50.52
_00142_,50.505
_00885_,50.5
_12845_,50.5
net380,50.5
_06780_,50.48
_18066_,50.46
_05252_,50.44
_16221_,50.44
_18145_,50.44
_24504_,50.44
_01881_,50.42
_06832_,50.42
_22157_,50.42
_00531_,50.4
_05957_,50.4
_07727_,50.4
clknet_leaf_117_clk,50.4
_04383_,50.39
_11832_,50.38
_14201_,50.36
_24914_,50.34
_19672_,50.335
_03871_,50.32
_14915_,50.32
_19936_,50.32
clknet_leaf_162_clk,50.32
_06234_,50.3
_06943_,50.3
_01157_,50.28
_08762_,50.28
_00713_,50.26
_06396_,50.26
_21722_,50.26
_20771_,50.24
_20887_,50.24
delay_line\[18\]\[0\],50.235
_22238_,50.22
_01711_,50.21
_03474_,50.2
_03734_,50.2
_22057_,50.2
_22604_,50.2
net39,50.2
_16919_,50.18
_21491_,50.18
_22416_,50.18
_23940_,50.18
_00201_,50.17
_01332_,50.16
_10576_,50.16
_13854_,50.16
_16533_,50.16
net671,50.16
net1094,50.145
_20058_,50.14
_11772_,50.125
_02880_,50.12
_00036_,50.115
_13016_,50.11
_07514_,50.1
delay_line\[27\]\[15\],50.1
_16036_,50.08
_09768_,50.06
_21795_,50.06
_03812_,50.04
_05503_,50.04
_07939_,50.04
_14842_,50.04
clknet_leaf_153_clk,50.04
_03063_,50.02
_09696_,50
_10672_,50
_23263_,50
_00694_,49.98
_22611_,49.96
_17011_,49.95
_10244_,49.94
_03662_,49.9
_05414_,49.9
_07682_,49.9
_18546_,49.9
_21565_,49.88
_15995_,49.86
_19591_,49.85
_18766_,49.84
delay_line\[15\]\[0\],49.84
_21673_,49.835
_16009_,49.82
_24525_,49.82
_07151_,49.8
_10799_,49.8
_14744_,49.8
net270,49.8
_00230_,49.78
_16632_,49.78
_15867_,49.76
_22479_,49.76
_05598_,49.74
_08040_,49.74
_22502_,49.73
_17381_,49.72
_17472_,49.72
delay_line\[12\]\[11\],49.72
_09426_,49.7
_15438_,49.7
clknet_leaf_188_clk,49.695
_04532_,49.68
_09805_,49.68
_10646_,49.68
_16382_,49.68
_16541_,49.66
delay_line\[36\]\[6\],49.66
_02864_,49.64
_10070_,49.64
_17171_,49.64
_08658_,49.62
_09355_,49.62
_08721_,49.6
_12993_,49.58
_14207_,49.58
_15429_,49.58
_01858_,49.56
_08645_,49.56
_13091_,49.54
_12088_,49.53
_23469_,49.53
_11673_,49.52
_15439_,49.52
_25400_,49.52
delay_line\[7\]\[0\],49.52
_16042_,49.5
_18798_,49.495
_06636_,49.49
_10543_,49.485
_02764_,49.48
_20880_,49.48
_24394_,49.48
_03109_,49.46
_04071_,49.46
clknet_leaf_192_clk,49.46
_01453_,49.4
_02107_,49.4
_20098_,49.4
_18423_,49.38
_12311_,49.375
_03704_,49.36
_03975_,49.36
_05215_,49.36
_13161_,49.36
_12417_,49.34
_14910_,49.34
_20191_,49.34
_19315_,49.335
_01194_,49.32
_23558_,49.32
_17907_,49.31
_09221_,49.3
_20161_,49.3
_02037_,49.28
_23805_,49.28
_07360_,49.26
_10769_,49.26
_12109_,49.26
delay_line\[38\]\[2\],49.26
_00093_,49.24
_13026_,49.22
_23084_,49.22
_07837_,49.2
_19948_,49.2
_22616_,49.2
delay_line\[36\]\[3\],49.2
_03178_,49.18
_24967_,49.18
_00972_,49.175
_00959_,49.16
_19930_,49.15
_17494_,49.12
_10549_,49.115
_04345_,49.11
_03126_,49.1
_04384_,49.1
_06638_,49.1
_24152_,49.1
_13018_,49.06
_18657_,49.055
_05007_,49.04
_06014_,49.04
_22583_,49.04
net334,49.04
clknet_leaf_170_clk,49.04
_09496_,49.02
_15164_,49.02
_21049_,49.02
_23529_,49.02
_01592_,49
net647,48.985
_07286_,48.97
_07965_,48.96
_12393_,48.955
_00470_,48.94
_00705_,48.94
_07206_,48.94
_16231_,48.94
delay_line\[27\]\[14\],48.94
_04177_,48.92
_05998_,48.9
_06260_,48.9
_12952_,48.9
_18785_,48.88
_15512_,48.87
net954,48.865
_01364_,48.86
_04736_,48.86
_16640_,48.86
_22039_,48.86
_06524_,48.85
delay_line\[5\]\[14\],48.85
_03763_,48.84
_07449_,48.84
_15288_,48.84
_16086_,48.84
_20582_,48.84
net699,48.825
net864,48.805
_17767_,48.8
clknet_leaf_91_clk,48.8
_01066_,48.78
_08733_,48.78
_04098_,48.76
_05871_,48.74
_12097_,48.74
delay_line\[11\]\[2\],48.72
net1137,48.705
_09608_,48.7
_15736_,48.7
_17336_,48.68
net319,48.665
_13715_,48.66
_23203_,48.66
_18630_,48.655
_18681_,48.64
_21453_,48.64
_21887_,48.64
_24007_,48.64
_18930_,48.6
_18970_,48.59
_17668_,48.58
_22331_,48.56
_25258_,48.56
net286,48.56
_02220_,48.54
_20221_,48.54
_07571_,48.53
_08611_,48.5
_18096_,48.5
_02631_,48.48
_19253_,48.48
_21514_,48.46
_03012_,48.44
_24509_,48.44
_14301_,48.42
_16450_,48.42
_20594_,48.41
net402,48.41
_13037_,48.4
_15294_,48.4
_20334_,48.4
delay_line\[33\]\[4\],48.4
net1025,48.365
_19513_,48.36
_22836_,48.36
_24736_,48.33
net668,48.325
_03759_,48.3
_04854_,48.3
_10589_,48.3
_23168_,48.3
_05780_,48.28
net1049,48.265
_10963_,48.26
_13674_,48.26
_21238_,48.26
_20456_,48.245
_15246_,48.24
_13787_,48.235
net1052,48.225
_06773_,48.22
_10335_,48.22
_14010_,48.22
_09211_,48.2
_16711_,48.2
_18754_,48.2
_20692_,48.18
_22017_,48.18
_07008_,48.16
_17923_,48.15
_01644_,48.14
_07534_,48.14
_10596_,48.14
_12696_,48.12
_09112_,48.1
_09298_,48.1
_18171_,48.1
_19046_,48.095
_11158_,48.08
_11309_,48.08
_23105_,48.08
_07613_,48.06
_02099_,48.05
_05358_,48.05
net932,48.045
_08605_,48.02
_23348_,48
_05457_,47.98
_21237_,47.98
_16601_,47.975
_00505_,47.96
_04842_,47.96
_11810_,47.96
_24369_,47.96
_10431_,47.94
net447,47.92
_23365_,47.91
_10422_,47.9
_23003_,47.9
_17019_,47.89
_00104_,47.88
_09810_,47.88
_09610_,47.87
net662,47.865
_00579_,47.86
_09673_,47.86
_22964_,47.86
_14290_,47.85
_15599_,47.82
_22413_,47.82
clknet_leaf_102_clk,47.82
clknet_leaf_191_clk,47.82
_17679_,47.78
delay_line\[10\]\[2\],47.76
delay_line\[7\]\[13\],47.76
_23922_,47.74
_04706_,47.7
delay_line\[27\]\[8\],47.7
clknet_leaf_30_clk,47.7
_06190_,47.69
_23737_,47.685
_00194_,47.68
_05295_,47.68
_05772_,47.68
_22054_,47.675
_05246_,47.67
_00417_,47.66
_20015_,47.66
_24996_,47.66
clknet_leaf_6_clk,47.64
_25236_,47.63
_01556_,47.62
_17062_,47.62
_19492_,47.62
_24224_,47.6
_22627_,47.595
_08814_,47.58
_21657_,47.58
_02053_,47.56
_02621_,47.56
_09562_,47.54
_12432_,47.54
_14775_,47.54
_10568_,47.52
_10953_,47.52
_19322_,47.52
_00756_,47.5
_22196_,47.5
_06196_,47.48
_08745_,47.48
_07113_,47.46
_07439_,47.46
_21549_,47.46
_21652_,47.44
_08414_,47.42
_18341_,47.4
_20323_,47.4
delay_line\[6\]\[15\],47.4
_11849_,47.36
net431,47.36
_22980_,47.34
_10130_,47.3
_18083_,47.3
_21707_,47.3
_21949_,47.295
_06291_,47.28
_22967_,47.275
_12324_,47.26
_20963_,47.26
_12240_,47.24
_04988_,47.22
_24705_,47.22
net1112,47.165
_17941_,47.16
_23831_,47.16
_24629_,47.16
clknet_leaf_157_clk,47.16
_17198_,47.135
_16509_,47.13
_00474_,47.12
_17765_,47.12
delay_line\[34\]\[4\],47.12
delay_line\[26\]\[15\],47.11
net885,47.105
_18503_,47.1
delay_line\[33\]\[3\],47.1
_23991_,47.085
_05003_,47.08
_05546_,47.08
_13152_,47.08
_14204_,47.08
_22281_,47.08
_06145_,47.035
clknet_leaf_113_clk,47.02
_04573_,47
_06469_,47
_09128_,47
_18328_,47
_21843_,47
_13815_,46.98
_20159_,46.94
clknet_leaf_104_clk,46.94
_03439_,46.92
_09749_,46.92
_10644_,46.92
_17589_,46.92
_00347_,46.9
_05392_,46.9
_07167_,46.9
net617,46.88
_17092_,46.86
_08957_,46.85
_21604_,46.845
_11666_,46.84
_16823_,46.84
_17831_,46.84
_11579_,46.82
_18360_,46.8
_15119_,46.78
_18947_,46.78
_10825_,46.76
_19424_,46.76
_19989_,46.76
_24145_,46.76
_23758_,46.75
_01446_,46.74
_22034_,46.74
net906,46.725
_21236_,46.72
_04832_,46.7
_15712_,46.7
_15753_,46.7
_16430_,46.7
_22183_,46.7
_23594_,46.7
_07660_,46.66
clknet_leaf_70_clk,46.66
net645,46.645
_03493_,46.64
_07637_,46.635
_13944_,46.615
_00360_,46.6
_14941_,46.6
delay_line\[34\]\[12\],46.6
_22622_,46.58
_16321_,46.56
_17799_,46.56
_02588_,46.54
_21479_,46.52
_24095_,46.52
clknet_leaf_39_clk,46.52
_13691_,46.5
_17483_,46.5
clknet_leaf_58_clk,46.5
clknet_leaf_74_clk,46.48
clknet_leaf_78_clk,46.48
_07305_,46.46
_10697_,46.46
_20898_,46.46
_22421_,46.455
_17621_,46.44
_18226_,46.44
_18384_,46.44
_13793_,46.425
_11470_,46.42
_12199_,46.42
_17216_,46.42
_05809_,46.4
_20104_,46.4
delay_line\[15\]\[9\],46.4
_16044_,46.38
_23443_,46.38
_15027_,46.375
_17967_,46.36
_06032_,46.33
_01972_,46.32
_04612_,46.32
_22986_,46.31
net852,46.305
net953,46.305
_00708_,46.3
_06579_,46.3
_13213_,46.3
delay_line\[36\]\[14\],46.3
net865,46.3
_10864_,46.28
_16247_,46.28
_19461_,46.26
_20086_,46.26
_21618_,46.26
_21785_,46.26
_07719_,46.24
_16418_,46.24
_20708_,46.24
_23786_,46.24
_01113_,46.22
_03295_,46.22
_13199_,46.22
delay_line\[6\]\[7\],46.2
_03645_,46.18
_16901_,46.18
_18062_,46.18
net304,46.18
_04815_,46.16
_10658_,46.16
_18748_,46.16
_14080_,46.14
_21988_,46.14
_24567_,46.14
_10330_,46.13
_06298_,46.1
_16473_,46.1
delay_line\[32\]\[2\],46.1
_10677_,46.055
_23992_,46.04
_18339_,46.02
_23262_,46
_02433_,45.98
_11792_,45.98
_19004_,45.975
_00486_,45.96
_01548_,45.96
_05863_,45.96
_16013_,45.96
_01771_,45.94
_06990_,45.94
_00377_,45.92
_15664_,45.92
_02454_,45.9
_07132_,45.9
_23167_,45.9
delay_line\[3\]\[14\],45.9
_02172_,45.86
_03970_,45.86
_11168_,45.86
_20817_,45.86
_18458_,45.845
_20374_,45.84
_04627_,45.82
_20874_,45.82
_20081_,45.805
_02640_,45.8
delay_line\[28\]\[12\],45.8
_10039_,45.785
_10154_,45.78
_14314_,45.78
_20578_,45.78
_24519_,45.78
_24638_,45.78
_04090_,45.76
_04820_,45.76
_07545_,45.76
_20380_,45.76
_02935_,45.75
_02988_,45.74
_10006_,45.74
_13456_,45.74
_24970_,45.74
net1058,45.725
_18362_,45.72
_24944_,45.72
_03348_,45.7
_01231_,45.68
_03559_,45.68
_11936_,45.68
_18017_,45.68
_19514_,45.68
_03964_,45.665
_16824_,45.66
_22009_,45.66
net237,45.66
_08437_,45.64
_24658_,45.64
delay_line\[2\]\[0\],45.64
_20011_,45.62
_21507_,45.62
_21141_,45.6
_21483_,45.6
_22545_,45.6
_01924_,45.56
_12062_,45.56
_23240_,45.56
_21414_,45.55
_19921_,45.5
_20573_,45.5
_10985_,45.49
_04318_,45.48
_16646_,45.48
clknet_leaf_13_clk,45.48
_21710_,45.46
net369,45.46
_03525_,45.44
_04315_,45.44
_23849_,45.44
delay_line\[34\]\[2\],45.44
_22402_,45.43
_20061_,45.4
_22042_,45.4
_14656_,45.39
_10905_,45.38
_03922_,45.36
_21181_,45.36
_21806_,45.36
_13014_,45.34
_00173_,45.32
_00863_,45.32
_00917_,45.32
_09303_,45.32
_10071_,45.32
_16119_,45.32
_06033_,45.3
_15424_,45.3
_16925_,45.3
_00457_,45.28
_02972_,45.28
_09756_,45.26
_02225_,45.24
_03887_,45.24
_23165_,45.24
_25386_,45.24
delay_line\[26\]\[14\],45.24
clknet_leaf_62_clk,45.24
_09196_,45.23
_16755_,45.22
_22315_,45.215
_24183_,45.21
_23933_,45.2
_04066_,45.18
_09001_,45.18
_02995_,45.16
_21462_,45.16
_15574_,45.14
_22759_,45.13
_01131_,45.12
_09418_,45.12
_13968_,45.12
_01213_,45.1
_04103_,45.1
_07798_,45.1
_18365_,45.1
_15570_,45.09
_12096_,45.08
_04451_,45.07
net849,45.065
_02815_,45.06
_03614_,45.06
delay_line\[15\]\[4\],45.06
_06717_,45.04
_25359_,45.04
delay_line\[11\]\[4\],45.02
_16493_,45
_20168_,45
_22197_,45
net318,44.985
net998,44.985
_08898_,44.98
_17968_,44.96
_00966_,44.94
_13252_,44.94
_23994_,44.94
_24396_,44.94
_11102_,44.92
_19220_,44.92
_23052_,44.92
net46,44.92
_02636_,44.9
_24096_,44.9
delay_line\[36\]\[8\],44.9
_01204_,44.88
_19409_,44.88
_16371_,44.875
_18603_,44.875
_07481_,44.86
_20964_,44.86
delay_line\[7\]\[15\],44.86
net274,44.86
_22292_,44.855
_23544_,44.84
clknet_leaf_67_clk,44.84
clknet_leaf_85_clk,44.84
clknet_leaf_167_clk,44.84
_04908_,44.83
net1090,44.825
_05068_,44.82
_05592_,44.82
_20277_,44.82
_07937_,44.8
clknet_leaf_90_clk,44.78
net1066,44.765
_08902_,44.76
_10716_,44.76
_02393_,44.72
_18486_,44.72
_22705_,44.72
_14398_,44.71
_18496_,44.71
_00631_,44.7
_07414_,44.7
_09218_,44.68
_03123_,44.67
_05770_,44.66
net1038,44.655
_08077_,44.65
_06249_,44.64
_05340_,44.62
_17200_,44.62
_16561_,44.58
_18895_,44.58
_21035_,44.565
_01095_,44.56
_03853_,44.56
_17934_,44.56
delay_line\[9\]\[11\],44.54
_17212_,44.53
delay_line\[8\]\[0\],44.52
_06007_,44.51
_00182_,44.5
_22936_,44.495
_07497_,44.48
_22814_,44.48
_00729_,44.475
_19589_,44.475
_12715_,44.47
_02632_,44.44
_03479_,44.44
_23414_,44.44
_01482_,44.42
_18370_,44.42
_22286_,44.42
_13318_,44.4
_20549_,44.4
_02620_,44.38
_05375_,44.38
_09312_,44.36
_18299_,44.36
_19980_,44.36
_09281_,44.34
_00163_,44.32
_09766_,44.32
_14312_,44.32
_22883_,44.32
_10210_,44.31
_01202_,44.3
_11887_,44.3
_19351_,44.26
_08529_,44.24
_12597_,44.24
_18534_,44.24
net83,44.24
_10555_,44.235
_19274_,44.22
clknet_leaf_11_clk,44.22
_17706_,44.2
_24451_,44.19
_01286_,44.18
_02143_,44.18
_04985_,44.16
_05319_,44.16
_07431_,44.16
delay_line\[6\]\[13\],44.16
_03514_,44.14
_03912_,44.14
_22584_,44.14
_24823_,44.14
_01626_,44.12
_15379_,44.12
_18090_,44.1
_10435_,44.08
_19396_,44.08
delay_line\[6\]\[10\],44.08
_04089_,44.06
_15669_,44.06
_05756_,44.04
_23162_,44.04
delay_line\[10\]\[4\],44.04
net345,44.04
_25106_,44.025
_13189_,44.02
_18326_,44.02
net793,44.005
_04129_,43.995
_23075_,43.98
_10624_,43.96
_13664_,43.96
_00642_,43.92
_17719_,43.915
_07406_,43.9
_04898_,43.89
net948,43.885
_04617_,43.88
_16605_,43.88
_18886_,43.88
_19662_,43.88
_21726_,43.88
_13050_,43.86
_24024_,43.86
_21951_,43.85
_15754_,43.84
_15860_,43.84
clknet_leaf_5_clk,43.84
_19716_,43.82
_15323_,43.81
_04533_,43.8
_04873_,43.8
_07440_,43.8
_11113_,43.8
delay_line\[14\]\[15\],43.8
_01989_,43.78
_04952_,43.77
delay_line\[27\]\[7\],43.77
_09465_,43.76
_16536_,43.76
_22951_,43.76
_23567_,43.755
_10292_,43.74
_19475_,43.74
_00202_,43.72
_13646_,43.72
_25324_,43.72
net449,43.715
_00041_,43.7
_22514_,43.7
_13634_,43.69
_07845_,43.68
_16065_,43.665
_00152_,43.66
_02337_,43.66
_17859_,43.64
_22004_,43.64
_15899_,43.62
_24578_,43.62
_00659_,43.6
_03622_,43.6
_07584_,43.6
_14236_,43.6
clknet_leaf_194_clk,43.6
_14174_,43.57
net1018,43.565
delay_line\[40\]\[5\],43.56
_12877_,43.54
_02931_,43.535
_19490_,43.52
_21112_,43.52
_24498_,43.5
_14805_,43.48
delay_line\[15\]\[3\],43.48
_03015_,43.46
_04109_,43.46
_15924_,43.46
_17012_,43.46
_04189_,43.44
_24084_,43.44
_09199_,43.43
net379,43.43
_06009_,43.42
_18782_,43.42
_19474_,43.42
_06195_,43.41
_01590_,43.4
_04003_,43.4
_20623_,43.4
_01722_,43.38
_02049_,43.38
_23434_,43.375
_02363_,43.36
_15462_,43.36
delay_line\[26\]\[11\],43.36
_20548_,43.35
_21158_,43.34
clknet_leaf_160_clk,43.34
_08097_,43.32
_16105_,43.32
_07082_,43.31
_02376_,43.3
_08162_,43.3
_11624_,43.3
clknet_leaf_176_clk,43.3
net856,43.285
_09671_,43.28
_19520_,43.28
_22295_,43.28
_19079_,43.26
_13249_,43.24
_13305_,43.24
_17566_,43.24
_18353_,43.24
_03209_,43.23
_04634_,43.22
_10371_,43.22
_20529_,43.22
_23248_,43.22
_24722_,43.22
net372,43.215
_02217_,43.19
_07052_,43.18
_15383_,43.18
_15808_,43.18
_19746_,43.16
_14187_,43.14
_17805_,43.135
_09554_,43.12
_22372_,43.12
_24954_,43.12
_12339_,43.11
_02121_,43.1
_03426_,43.1
_04784_,43.1
_20905_,43.1
_00131_,43.08
_16269_,43.08
_21852_,43.08
_01826_,43.06
_05605_,43.06
_16973_,43.06
_21877_,43.06
_22519_,43.06
delay_line\[2\]\[3\],43.04
_01117_,43.02
_25164_,43.02
net961,43.005
_11961_,43
_14293_,43
_15087_,43
_16596_,43
_17558_,43
_18864_,43
_21956_,43
_03505_,42.98
_25137_,42.98
_04357_,42.97
_11877_,42.96
_22206_,42.96
_20605_,42.955
_10679_,42.94
_15492_,42.94
_19194_,42.94
net49,42.94
_09962_,42.93
_21501_,42.92
_12137_,42.915
_08156_,42.9
_13971_,42.9
_17698_,42.9
_19470_,42.9
_25356_,42.9
_01280_,42.88
_03070_,42.88
_03087_,42.88
_11895_,42.88
_19404_,42.88
clknet_leaf_154_clk,42.88
_04213_,42.86
_12871_,42.86
_16297_,42.86
_24347_,42.86
net419,42.86
_05214_,42.84
_25444_,42.84
_07539_,42.83
_10320_,42.82
_05376_,42.8
_10034_,42.8
_13241_,42.8
_15910_,42.8
_10036_,42.78
_23161_,42.78
_08183_,42.76
_10303_,42.76
clknet_leaf_126_clk,42.74
_18356_,42.725
_03205_,42.72
_12906_,42.72
_16332_,42.72
_25068_,42.72
_07540_,42.715
_10000_,42.7
_18406_,42.67
_07728_,42.66
_10317_,42.66
_07316_,42.64
_16072_,42.64
_21627_,42.64
_25413_,42.64
net912,42.625
_19468_,42.61
_08416_,42.59
net640,42.585
_02221_,42.58
_09799_,42.58
_11544_,42.58
_12042_,42.58
_18488_,42.58
_20999_,42.58
_03185_,42.56
_07015_,42.54
_07620_,42.54
_19868_,42.53
_07695_,42.52
_00626_,42.5
_01607_,42.5
_03396_,42.5
_09288_,42.5
clknet_leaf_88_clk,42.5
_03954_,42.48
_12095_,42.48
_17492_,42.48
_20483_,42.48
_24406_,42.48
net903,42.465
_01333_,42.46
_05505_,42.46
_17066_,42.46
_24945_,42.45
_08980_,42.44
_18545_,42.44
_22361_,42.44
_02809_,42.42
_03408_,42.4
_05124_,42.4
_19225_,42.4
_20823_,42.4
net974,42.4
net373,42.395
net284,42.37
net749,42.365
_05459_,42.36
_07831_,42.36
_17597_,42.34
_21791_,42.34
delay_line\[40\]\[10\],42.34
_04838_,42.33
_09423_,42.33
_03094_,42.32
_10146_,42.32
_04070_,42.3
_24144_,42.28
_21845_,42.275
net156,42.275
_22383_,42.26
delay_line\[2\]\[9\],42.26
_21466_,42.25
_24501_,42.24
_24822_,42.23
_24947_,42.23
_10853_,42.22
_12469_,42.22
_16075_,42.22
_20189_,42.22
_21629_,42.22
delay_line\[34\]\[11\],42.22
_21994_,42.205
_10559_,42.18
_17077_,42.18
_00483_,42.17
_13629_,42.16
clknet_leaf_128_clk,42.16
_08565_,42.14
_20971_,42.14
_22388_,42.14
_00630_,42.12
_00745_,42.12
_10322_,42.12
_22370_,42.12
_24516_,42.12
